White Male	Black Male	Hisp Male	White Female	Black Female	Hispanic Female

0.008961	0.021124	0.009218	0.0069		0.017355	0.007466
0.000459	0.000858	0.000538	0.000361	0.000676	0.000421
0.000264	0.000412	0.00026		0.000179	0.000275	0.000173
0.001313	0.002522	0.001593	0.000459	0.000687	0.000406
0.001761	0.004308	0.00234		0.000615	0.001595	0.000629
0.002682	0.006996	0.003418	0.001174	0.002986	0.001093
0.005487	0.01261		0.005339	0.003093	0.006394	0.002533
0.014672	0.026184	0.011237	0.008227	0.014526	0.006075
0.033977	0.049461	0.023682	0.019235	0.028657	0.014538
0.078449	0.091295	0.053691	0.048391	0.056883	0.033513
0.182683	0.169549	0.122721	0.144006	0.133095	0.100987
