		collinear	means	Assets	Assets	LFP	LFP	Cov	Cov	Earn	Earn	lagEarn	lagEarn	EarnDif	EarnDif	NbEarn	NbEarn	NbCov	NbCov	Age	Age	Married	Married	Female	Female	Numk	Numk	Edu	Edu	XP	XP	CovXP	CovXP	Cohort	Cohort	LFP	LFP	Cov	Cov	lagLFP	lagLFP	lagCov	lagCov	Assets	Assets	Year	Year	YearOdd	YearOdd
1	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
2	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
3	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
4	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
5	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
6	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
7	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
8	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
9	0_Assets	0	0	0	0.09999999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
10	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
11	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
12	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
13	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
14	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
15	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
16	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
17	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
18	Assets<5	0	0	0.1	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
19	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
20	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
21	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
